Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/29/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/30/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/31/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/1/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/2/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/3/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/4/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/5/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/6/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/7/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/8/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/9/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/10/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/11/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/12/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/13/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/14/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/15/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/16/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/17/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/18/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/19/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/20/2021,AQS,295100085,1,0.4,ppm,5,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/21/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/22/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/23/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/24/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/25/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/26/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/27/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
2/28/2021,AQS,295100085,1,0.3,ppm,3,Blair Street,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
3/1/2021,AQS,295100085,1,0.2,ppm,2,Blair Street,2,8,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.65642894,-90.19834827
1/1/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,19,79,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/2/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/3/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/4/2021,AQS,295100094,1,0.5,ppm,6,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/5/2021,AQS,295100094,1,0.5,ppm,6,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/6/2021,AQS,295100094,1,0.5,ppm,6,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/7/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/8/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/9/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/10/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/11/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/12/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/13/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/14/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/15/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/16/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/17/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/18/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/19/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/20/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/21/2021,AQS,295100094,1,0.5,ppm,6,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/22/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/23/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/24/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/25/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/26/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/27/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/28/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/29/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/30/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
1/31/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/1/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/2/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/3/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/4/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/5/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/6/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/7/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/8/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/9/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/10/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/11/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/12/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/13/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/14/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/15/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/16/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/17/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/18/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/19/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/20/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/21/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/22/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/23/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/24/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/25/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/26/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/27/2021,AQS,295100094,1,0.4,ppm,5,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
2/28/2021,AQS,295100094,1,0.3,ppm,3,Forest Park,24,100,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
3/1/2021,AQS,295100094,1,0.2,ppm,2,Forest Park,2,8,42101,Carbon monoxide,41180,"St. Louis, MO-IL",29,Missouri,510,St. Louis City,38.63114,-90.28115
